NumeroForo,AreaDelaminata_mm2,Dmax_mm,DF_diametro,DHAR_Area_Ratio,ShapeFactor,ScalaCalcolata_px_per_mm,Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7,Forza_N
1,4.549221,14.206101,2.367683,0.160896,0.034932,46.44666,0.341395,-1.791659,-1.322259,0.356982,0.297033,-0.538885,-0.257142,89.5
2,3.203757,14.101144,2.350191,0.11331,0.02505,47.812825,0.620941,-0.389947,0.390386,-0.223858,0.550068,0.42342,0.176325,100.25
3,2.909547,13.579506,2.263251,0.102904,0.024963,48.304792,0.659556,0.344736,0.231963,0.461083,0.040654,0.625901,0.80116,103.36
4,3.418893,12.409875,2.068312,0.120919,0.036889,47.693953,0.515496,-0.653302,-0.721846,-0.058117,-0.902232,0.555203,-0.476728,101.57
5,3.028368,11.165285,1.860881,0.107107,0.043488,46.853408,0.599628,-0.213767,0.722542,-0.119199,-0.758416,1.245249,0.179603,99.2
6,3.177389,10.653082,1.775514,0.112377,0.052209,48.216851,0.54878,-0.437705,0.391059,-0.184649,-0.382937,1.05481,0.14376,104.17
7,2.824939,12.319386,2.053231,0.099912,0.031069,47.377744,0.633982,-0.377009,-0.070503,-0.808273,-2.46605,-1.451232,-1.248456,107.5
8,4.336961,12.449737,2.074956,0.153389,0.046405,46.905841,0.435659,-0.850592,0.286838,-0.711356,-1.759681,1.473036,0.928284,107.8
9,2.537691,10.000888,1.666815,0.089752,0.050472,47.918487,0.610235,-1.230557,0.136684,-0.290952,0.412454,0.972193,0.734734,101.62
10,2.284361,8.543653,1.423942,0.080793,0.078622,47.550246,0.669362,-1.132935,0.678599,-1.032619,-1.285172,-2.004671,-1.475586,105.7
11,3.807414,12.692571,2.115429,0.13466,0.038751,48.440421,0.509998,-0.434678,0.113898,-0.568251,1.105311,0.836576,-0.855024,112.5
12,2.668649,11.39712,1.89952,0.094384,0.036188,47.416546,0.615823,0.001353,0.639598,-1.180057,-1.515839,-1.187699,-1.742322,107.1
13,2.819016,11.324198,1.887366,0.099702,0.038914,47.006771,0.60309,-1.258549,0.507834,-0.353598,-0.30348,0.989369,0.742538,104.3
14,4.765671,13.491174,2.248529,0.168551,0.041557,48.88558,0.357278,-0.925518,-1.498203,0.203756,0.44819,-0.541941,1.277126,113.0
15,2.973123,12.621055,2.103509,0.105153,0.030704,48.400978,0.552864,-0.390424,0.726916,0.569322,1.194702,0.355582,-0.71618,110.7
16,4.992166,13.228014,2.204669,0.176562,0.045735,47.528299,0.327031,-0.689842,-0.349586,-0.688516,2.254151,1.155829,1.209326,114.1
17,3.98887,13.56415,2.260692,0.141077,0.034319,46.6025,0.403195,-0.644818,-0.362692,0.146636,0.215855,-0.184061,-0.041904,105.8
18,3.209196,13.891523,2.315254,0.113502,0.02603,48.259009,0.682876,0.816473,0.647165,-0.085747,-0.01684,-0.228692,0.068937,111.1
