File,Area_GT,Area_AI_Raw,Area_AI_Corr,Errore_%,Circ_GT,Circ_AI
H489_h003_Scan5.png,23170,22246,30699.48,32.4967,0.5586,0.7576
H490_h004_Scan5.png,40949,18116,25000.08,-38.9483,0.1291,0.665
H491_h005_Scan5.png,25259,11009,15192.42,-39.8534,0.3779,0.631
H492_h006_Scan5.png,18672,9207,12705.66,-31.9534,0.4895,0.4794
H493_h007_Scan5.png,32640,30257,41754.66,27.9248,0.8073,0.7444
H494_h008_Scan5.png,27679,12758,17606.04,-36.3921,0.6243,0.8575
H495_h009_Scan5.png,26370,13831,19086.78,-27.6193,0.656,0.6429
H496_h010_Scan5.png,25961,28791,39731.58,53.0433,0.6066,0.6816
H497_h011_Scan5.png,32395,33204,45821.52,41.4463,0.6125,0.8106
H498_h012_Scan5.png,26069,27212,37552.56,44.0506,0.7141,0.9125
H499_h013_Scan5.png,25500,27440,37867.2,48.4988,0.7247,0.9092
H500_h014_Scan5.png,39638,43189,59600.82,50.3628,0.6589,0.878
H501_h015_Scan5.png,37017,25361,34998.18,-5.4538,0.6742,0.7997
H502_h016_Scan5.png,38171,29689,40970.82,7.3349,0.7057,0.8798
H503_h017_Scan5.png,17178,9649,13315.62,-22.4845,0.3641,0.6375
H504_h018_Scan5.png,25025,24610,33961.8,35.7115,0.5117,0.8564
H505_h019_Scan5.png,39068,43577,60136.26,53.9272,0.723,0.7999
H506_h020_Scan5.png,30544,23946,33045.48,8.1898,0.7899,0.8485
H507_h021_Scan5.png,28648,15147,20902.86,-27.0355,0.6046,0.7763
H508_h022_Scan5.png,28810,21881,30195.78,4.8101,0.8344,0.7751
H509_h023_Scan5.png,26961,32485,44829.3,66.2746,0.6617,0.8837
H510_h024_Scan5.png,37219,42449,58579.62,57.3917,0.6797,0.9035
H511_h025_Scan5.png,24258,25210,34789.8,43.4158,0.7607,0.8644
H512_h026_Scan5.png,27838,30227,41713.26,49.8429,0.7335,0.8422
H513_h027_Scan5.png,38812,38997,53815.86,38.6578,0.8413,0.8593
H514_h028_Scan5.png,27683,31066,42871.08,54.8643,0.7608,0.9174
H515_h029_Scan5.png,20706,14829,20464.02,-1.1686,0.6055,0.9239
H516_h030_Scan5.png,25804,29348,40500.24,56.9533,0.6444,0.8414
H517_h031_Scan5.png,41344,44357,61212.66,48.0569,0.8138,0.8724
H518_h032_Scan5.png,15513,16122,22248.36,43.4175,0.7976,0.7972
H519_h033_Scan5.png,20635,22679,31297.02,51.6696,0.5381,0.8243
H520_h034_Scan5.png,34111,31921,44050.98,29.1401,0.7413,0.8114
H521_h035_Scan5.png,36249,38850,53613,47.902,0.7204,0.8553
H522_h036_Scan5.png,37876,41558,57350.04,51.4152,0.6599,0.9447
H523_h037_Scan5.png,40270,44361,61218.18,52.0193,0.07695,0.7556
H524_h038_Scan5.png,36729,39322,54264.36,47.7425,0.6064,0.8701
H525_h039_Scan5.png,30292,18528,25568.64,-15.5928,0.7067,0.7218
