NomeFile,Area_GT,Area_AI_Raw,Area_AI_Corrected,Error_Raw_%,Error_Corr_%,Circularity_GT,Circularity_AI
H489_h003_Scan5.png,23120,22142,30555.96,-4.2301,32.1625,0.4443,0.04499
H490_h004_Scan5.png,40949,17943,24761.34,-56.1821,-39.5313,0.1291,0.2936
H491_h005_Scan5.png,25258,10938,15094.44,-56.6949,-40.239,0.06692,0.1552
H492_h006_Scan5.png,18659,9162,12643.56,-50.8977,-32.2388,0.5096,0.2192
H493_h007_Scan5.png,32636,30159,41619.42,-7.5898,27.5261,0.7247,0.3076
H494_h008_Scan5.png,27654,12685,17505.3,-54.1296,-36.6989,0.3141,0.3461
H495_h009_Scan5.png,26369,13732,18950.16,-47.9237,-28.1347,0.5987,0.224
H496_h010_Scan5.png,25880,28744,39666.72,11.0665,53.2717,0.2257,0.2351
H497_h011_Scan5.png,32365,33101,45679.38,2.2741,41.1382,0.5153,0.2578
H498_h012_Scan5.png,26047,27093,37388.34,4.0158,43.5418,0.5035,0.3807
H499_h013_Scan5.png,25487,27386,37792.68,7.4509,48.2822,0.5161,0.02826
H500_h014_Scan5.png,39554,43064,59428.32,8.8739,50.246,0.6148,0.06624
H501_h015_Scan5.png,37009,25137,34689.06,-32.0787,-6.2686,0.6129,0.1904
H502_h016_Scan5.png,38109,29555,40785.9,-22.4461,7.0243,0.1033,0.2897
H503_h017_Scan5.png,17147,9572,13209.36,-44.1768,-22.964,0.206,0.2718
H504_h018_Scan5.png,25024,24528,33848.64,-1.9821,35.2647,0.02331,0.1797
H505_h019_Scan5.png,39066,43522,60060.36,11.4063,53.7407,0.6769,0.2173
H506_h020_Scan5.png,30534,23782,32819.16,-22.1131,7.484,0.6924,0.3303
H507_h021_Scan5.png,28631,14915,20582.7,-47.9061,-28.1104,0.4381,0.332
H508_h022_Scan5.png,28793,21689,29930.82,-24.6727,3.9517,0.6817,0.3393
H509_h023_Scan5.png,26869,32381,44685.78,20.5143,66.3098,0.5343,0.06412
H510_h024_Scan5.png,37164,42325,58408.5,13.8871,57.1642,0.1375,0.203
H511_h025_Scan5.png,24223,25143,34697.34,3.798,43.2413,0.791,0.05394
H512_h026_Scan5.png,27784,30116,41560.08,8.3933,49.5828,0.7521,0.2172
H513_h027_Scan5.png,38757,38941,53738.58,0.4748,38.6552,0.7925,0.1108
H514_h028_Scan5.png,27629,30989,42764.82,12.1611,54.7824,0.7035,0.0421
H515_h029_Scan5.png,20702,14698,20283.24,-29.002,-2.0228,0.5069,0.0233
H516_h030_Scan5.png,25799,29295,40427.1,13.5509,56.7003,0.5022,0.08477
H517_h031_Scan5.png,41336,44283,61110.54,7.1294,47.8385,0.7168,0.1308
H518_h032_Scan5.png,15476,15950,22011,3.0628,42.2267,0.05946,0.2542
H519_h033_Scan5.png,20550,22485,31029.3,9.4161,50.9942,0.3367,0.4504
H520_h034_Scan5.png,34080,31796,43878.48,-6.7019,28.7514,0.6445,0.06492
H521_h035_Scan5.png,36205,38802,53546.76,7.173,47.8988,0.7617,0.07839
H522_h036_Scan5.png,37856,41511,57285.18,9.655,51.3239,0.217,0.108
H523_h037_Scan5.png,40270,44332,61178.16,10.0869,51.9199,0.07695,0.3303
H524_h038_Scan5.png,36688,39270,54192.6,7.0377,47.7121,0.5258,0.094
H525_h039_Scan5.png,30260,18306,25262.28,-39.5043,-16.5159,0.09554,0.3452
H526_h040_Scan5.png,48598,52765,72815.7,8.5744,49.8327,0.5016,0.1714
H527_h041_Scan5.png,23198,28084,38755.92,21.0622,67.0658,0.0349,0.2374
H528_h042_Scan5.png,14048,12703,17530.14,-9.5743,24.7874,0.664,0.2409
H529_h043_Scan5.png,37439,34746,47949.48,-7.193,28.0736,0.7765,0.2728
H531_h045_Scan5.png,18287,20364,28102.32,11.3578,53.6738,0.4744,0.3412
H532_h046_Scan5.png,29425,34645,47810.1,17.74,62.4812,0.1299,0.1727
H533_h047_Scan5.png,27270,9641,13304.58,-64.6461,-51.2117,0.07823,0.3163
H534_h048_Scan5.png,31702,25239,34829.82,-20.3867,9.8663,0.7151,0.2926
H535_h049_Scan5.png,46583,47972,66201.36,2.9818,42.1148,0.69,0.2126
H536_h050_Scan5.png,24703,26172,36117.36,5.9466,46.2064,0.6694,0.384
H537_h051_Scan5.png,29053,27565,38039.7,-5.1217,30.9321,0.08396,0.1838
H538_h052_Scan5.png,41334,46279,63865.02,11.9635,54.5097,0.6491,0.05554
H539_h053_Scan5.png,38480,38969,53777.22,1.2708,39.7537,0.6508,0.2594
H540_h054_Scan5.png,36441,33093,45668.34,-9.1875,25.3213,0.1748,0.1851
H541_h055_Scan5.png,35359,42519,58676.22,20.2494,65.9442,0.03391,0.06746
H542_h056_Scan5.png,29295,31690,43732.2,8.1755,49.2821,0.4775,0.2582
H543_h057_Scan5.png,27277,31889,44006.82,16.908,61.3331,0.4464,0.04921
H544_h058_Scan5.png,16225,18679,25777.02,15.1248,58.8722,0.02923,0.4034
H545_h059_Scan5.png,40879,43445,59954.1,6.2771,46.6623,0.06926,0.4909
H547_h061_Scan5.png,37562,20041,27656.58,-46.6455,-26.3709,0.5117,0.2177
H548_h062_Scan5.png,33627,16567,22862.46,-50.733,-32.0116,0.6684,0.2917
H549_h063_Scan5.png,42784,20085,27717.3,-53.0549,-35.2157,0.4705,0.3035
H550_h064_Scan5.png,49329,35327,48751.26,-28.3849,-1.1712,0.154,0.3231
H551_h065_Scan5.png,62124,65274,90078.12,5.0705,44.9973,0.632,0.213
H552_h066_Scan5.png,57208,44928,62000.64,-21.4655,8.3776,0.143,0.07981
H553_h067_Scan5.png,37782,19734,27232.92,-47.7688,-27.9209,0.479,0.348
H554_h068_Scan5.png,44622,36300,50094,-18.65,12.263,0.4513,0.3112
H555_h069_Scan5.png,30103,22794,31455.72,-24.28,4.4936,0.4413,0.09985
H556_h070_Scan5.png,29083,25661,35412.18,-11.7663,21.7625,0.5957,0.1583
H557_h071_Scan5.png,38828,40965,56531.7,5.5038,45.5952,0.4789,0.08836
H558_h072_Scan5.png,41648,23314,32173.32,-44.0213,-22.7494,0.09322,0.324
H559_h073_Scan5.png,33147,13757,18984.66,-58.497,-42.7259,0.4965,0.3461
H560_h074_Scan5.png,42596,17848,24630.24,-58.0994,-42.1771,0.1688,0.3781
H561_h075_Scan5.png,14694,6831,9426.78,-53.5116,-35.8461,0.1304,0.146
H562_h076_Scan5.png,35091,36041,49736.58,2.7072,41.736,0.6234,0.3347
H563_h077_Scan5.png,49123,55420,76479.6,12.8188,55.69,0.4783,0.133
H564_h078_Scan5.png,34514,39214,54115.32,13.6177,56.7924,0.5709,0.1413
H565_h079_Scan5.png,43390,33477,46198.26,-22.8463,6.4721,0.513,0.3
H566_h080_Scan5.png,28206,24121,33286.98,-14.4827,18.0138,0.03096,0.1606
H567_h081_Scan5.png,21635,13615,18788.7,-37.0696,-13.156,0.02486,0.2308
H568_h082_Scan5.png,54847,57115,78818.7,4.1351,43.7065,0.5691,0.1622
H569_h083_Scan5.png,47425,65588,90511.44,38.2984,90.8517,0.07593,0.1968
H570_h084_Scan5.png,33845,11945,16484.1,-64.7068,-51.2953,0.4286,0.2627
H571_h085_Scan5.png,41931,18993,26210.34,-54.7042,-37.4917,0.5879,0.3345
H573_h001_Scan6.png,30902,29676,40952.88,-3.9674,32.525,0.1653,0.2379
H574_h002_Scan6.png,40471,33793,46634.34,-16.5007,15.229,0.7185,0.1357
H575_h003_Scan6.png,36538,32069,44255.22,-12.2311,21.1211,0.7663,0.5928
H576_h004_Scan6.png,30844,18192,25104.96,-41.0193,-18.6067,0.4734,0.4325
H577_h005_Scan6.png,43542,28702,39608.76,-34.082,-9.0332,0.4254,0.329
H578_h006_Scan6.png,28556,26150,36087,-8.4255,26.3727,0.3538,0.08863
H579_h007_Scan6.png,49250,50968,70335.84,3.4883,42.8139,0.5948,0.2822
H580_h008_Scan6.png,38074,30594,42219.72,-19.646,10.8886,0.4002,0.3071
H581_h009_Scan6.png,27086,21044,29040.72,-22.3067,7.2167,0.6422,0.02413
H582_h010_Scan6.png,25480,22202,30638.76,-12.865,20.2463,0.3741,0.2649
H583_h011_Scan6.png,44241,43519,60056.22,-1.632,35.7479,0.1601,0.08574
H584_h012_Scan6.png,47408,38755,53481.9,-18.2522,12.812,0.2153,0.2373
H585_h013_Scan6.png,26291,32819,45290.22,24.8298,72.2651,0.6984,0.2457
H586_h014_Scan6.png,26203,16423,22663.74,-37.324,-13.5071,0.1871,0.2284
H587_h015_Scan6.png,42747,40263,55562.94,-5.8109,29.9809,0.6467,0.3786
