epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.16864,0.91771,1.97408,1.20065,0.99787,0.80392,0.82336,0.65272,0.90235,1.76181,1.10739,0.00054,0.00054,0.00054
2,15.4954,0.88976,1.31959,1.15919,0.65995,0.70402,0.64356,0.36074,1.00703,2.55779,1.17986,0.00107822,0.00107822,0.00107822
3,21.2543,0.93906,1.25752,1.19079,1,0.69439,0.83036,0.66046,0.83429,1.53766,0.98954,0.00159426,0.00159426,0.00159426
4,28.2933,0.91225,1.18306,1.15629,0.90483,0.83333,0.88656,0.6659,0.909,1.21383,1.09373,0.0018812,0.0018812,0.0018812
5,34.104,0.91003,1.10889,1.11873,0.98919,0.89732,0.9257,0.71361,0.79067,1.36239,0.97466,0.0018416,0.0018416,0.0018416
6,40.4615,0.81248,0.9571,1.08436,0.96782,0.88444,0.935,0.72544,0.77706,1.02441,0.9437,0.001802,0.001802,0.001802
7,46.6706,0.86157,0.98174,1.11226,0.79526,0.82353,0.86109,0.64307,0.83231,1.60209,0.97581,0.0017624,0.0017624,0.0017624
8,52.202,0.88639,0.92679,1.10585,0.98748,0.86275,0.92765,0.7229,0.81309,0.86918,0.94865,0.0017228,0.0017228,0.0017228
9,59.3687,0.84841,0.8345,1.10557,0.98848,0.84092,0.92725,0.7056,0.85972,0.9255,1.00668,0.0016832,0.0016832,0.0016832
10,64.9107,0.80306,0.77862,1.07845,0.98861,0.85074,0.94582,0.72169,0.78838,0.80091,0.96531,0.0016436,0.0016436,0.0016436
11,72.0897,0.81289,0.78123,1.09388,0.97833,0.88533,0.93659,0.73947,0.76944,0.72718,0.95629,0.001604,0.001604,0.001604
12,77.7167,0.7557,0.71067,1.04153,0.99693,0.89216,0.94396,0.74906,0.71418,0.64403,0.90484,0.0015644,0.0015644,0.0015644
13,84.2009,0.78847,0.73163,1.07007,0.97844,0.88978,0.94133,0.75255,0.70311,0.57526,0.91819,0.0015248,0.0015248,0.0015248
14,90.4148,0.77157,0.69634,1.05923,1,0.86269,0.94097,0.7161,0.77264,0.62598,0.94237,0.0014852,0.0014852,0.0014852
15,96.067,0.79901,0.70011,1.06069,1,0.88091,0.938,0.76261,0.7118,0.55261,0.88549,0.0014456,0.0014456,0.0014456
16,103.147,0.74352,0.65683,1.05106,0.97953,0.93819,0.9483,0.72883,0.73563,0.56781,0.92719,0.001406,0.001406,0.001406
17,108.583,0.71813,0.60809,1.0339,0.99588,0.90196,0.95611,0.74095,0.68729,0.52097,0.87528,0.0013664,0.0013664,0.0013664
18,115.72,0.67929,0.57138,1.02289,0.98575,0.89216,0.94796,0.76006,0.69735,0.52325,0.87645,0.0013268,0.0013268,0.0013268
19,121.509,0.68526,0.5773,1.02091,0.97448,0.90196,0.94504,0.76444,0.67545,0.53085,0.8705,0.0012872,0.0012872,0.0012872
20,128.394,0.74898,0.63653,1.04338,0.99727,0.93137,0.95004,0.75385,0.69279,0.5655,0.89468,0.0012476,0.0012476,0.0012476
21,134.242,0.7372,0.59793,1.01389,0.95681,0.91176,0.94117,0.72892,0.72998,0.48486,0.88045,0.001208,0.001208,0.001208
22,140.312,0.7349,0.58943,1.02978,0.98955,0.92854,0.95478,0.76343,0.69794,0.46206,0.8886,0.0011684,0.0011684,0.0011684
23,148.525,0.68932,0.56481,1.0118,0.99881,0.92157,0.9575,0.7985,0.59486,0.44603,0.82528,0.0011288,0.0011288,0.0011288
24,154.119,0.69958,0.56045,1.01817,1,0.9301,0.95906,0.8,0.6333,0.46534,0.84845,0.0010892,0.0010892,0.0010892
25,161.18,0.61788,0.49353,0.97617,1,0.93022,0.96362,0.7877,0.62931,0.43873,0.83906,0.0010496,0.0010496,0.0010496
26,166.937,0.69723,0.53263,1.01265,0.96992,0.94838,0.96947,0.80796,0.57517,0.41493,0.81447,0.00101,0.00101,0.00101
27,173.779,0.63809,0.52635,0.9996,0.97195,0.92157,0.96534,0.79852,0.58112,0.43899,0.83355,0.0009704,0.0009704,0.0009704
28,179.657,0.64917,0.49562,1.0028,0.99661,0.92157,0.96627,0.79464,0.6046,0.40446,0.85008,0.0009308,0.0009308,0.0009308
29,185.451,0.59821,0.47172,0.96672,0.9999,0.95098,0.97276,0.78953,0.58559,0.38268,0.81567,0.0008912,0.0008912,0.0008912
30,192.278,0.62859,0.48165,0.98661,0.98733,0.95098,0.97241,0.80378,0.55724,0.35401,0.79782,0.0008516,0.0008516,0.0008516
31,197.828,0.64453,0.49225,0.99891,0.96992,0.94852,0.97177,0.8127,0.56371,0.38937,0.80445,0.000812,0.000812,0.000812
32,205.003,0.65179,0.49533,0.99629,0.98022,0.95098,0.97268,0.81121,0.56675,0.3561,0.79947,0.0007724,0.0007724,0.0007724
33,210.672,0.6215,0.47601,0.9855,0.98988,0.95872,0.974,0.82146,0.54596,0.34763,0.79241,0.0007328,0.0007328,0.0007328
34,217.901,0.61087,0.47833,0.98382,0.99,0.97043,0.97459,0.82622,0.56089,0.36374,0.80651,0.0006932,0.0006932,0.0006932
35,223.607,0.55637,0.4344,0.95959,0.97987,0.95469,0.9667,0.81563,0.57625,0.45816,0.81103,0.0006536,0.0006536,0.0006536
36,229.824,0.5968,0.456,0.96377,0.98753,0.95098,0.96726,0.80448,0.53668,0.40028,0.78406,0.000614,0.000614,0.000614
37,236.223,0.54901,0.43813,0.96366,0.98978,0.94969,0.97353,0.82252,0.53047,0.31902,0.79819,0.0005744,0.0005744,0.0005744
38,241.682,0.60742,0.48008,0.97934,0.98977,0.9488,0.97328,0.83195,0.52995,0.31612,0.80058,0.0005348,0.0005348,0.0005348
39,248.788,0.5915,0.44781,0.98385,0.97802,0.95098,0.97288,0.82803,0.54338,0.32538,0.78774,0.0004952,0.0004952,0.0004952
40,254.317,0.53648,0.41056,0.95765,0.98807,0.96078,0.97487,0.84197,0.51326,0.31671,0.77957,0.0004556,0.0004556,0.0004556
41,262.951,0.47121,0.39905,0.9396,0.97804,0.96078,0.97367,0.84416,0.50774,0.32302,0.77442,0.000416,0.000416,0.000416
42,268.378,0.51257,0.41755,0.96216,0.97996,0.95865,0.97152,0.83479,0.49839,0.30247,0.76856,0.0003764,0.0003764,0.0003764
43,275.519,0.49114,0.38669,0.94476,0.97902,0.97059,0.97473,0.84724,0.49744,0.29578,0.77057,0.0003368,0.0003368,0.0003368
44,281.017,0.47896,0.37108,0.93973,0.98991,0.9615,0.97502,0.82744,0.54375,0.33351,0.80526,0.0002972,0.0002972,0.0002972
45,287.326,0.46592,0.37601,0.95728,0.9968,0.96078,0.97502,0.84734,0.49272,0.32117,0.76485,0.0002576,0.0002576,0.0002576
46,293.591,0.50419,0.38518,0.95666,0.99123,0.96078,0.97492,0.85194,0.47253,0.31249,0.75248,0.000218,0.000218,0.000218
47,298.961,0.47911,0.36956,0.94787,0.99303,0.96078,0.97492,0.851,0.48034,0.30306,0.75627,0.0001784,0.0001784,0.0001784
48,307.534,0.44836,0.35896,0.93119,0.98015,0.96828,0.97462,0.85031,0.46635,0.28858,0.75178,0.0001388,0.0001388,0.0001388
49,316.766,0.45008,0.35309,0.94115,0.98016,0.96893,0.97473,0.85029,0.46163,0.28774,0.75587,9.92e-05,9.92e-05,9.92e-05
50,322.866,0.43187,0.3491,0.91922,0.98017,0.96945,0.97483,0.85274,0.45691,0.29552,0.75325,5.96e-05,5.96e-05,5.96e-05
